Strain	BGC number
A. beijerinckii DSM 378 	1
A. beijerinckii DSM 373 	2
A. beijerinckii DSM 1041 	3
A. beijerinckii DSM 282  	1
A. beijerinckii DSM 381 	1
A. chroococcum B3	10
A. chroococcum P207	7
A. chroococcum ATCC 9043	4
A. chroococcum P204	3
A. chroococcum DSM 2286	4
A. chroococcum P208 	2
A. chroococcum W5	10
A. chroococcum HR1	11
A. chroococcum NCIMB 8003	9
A. chroococcum subsp. isscasi P205	7
A. salinestris KACC 13899	9
A. vinelandii  VKM B-1617 	1
A. vinelandii DSM 279	1
A. vinelandii CA 	9
A. vinelandii CA6	9
A. vinelandii DJ ATCC BAA-1	9
A. vinelandii NBRC 13581 	2
