	CORE	ACCESSORY	UNIQUE
[D] Cell cycle control, cell division, chromosome partitioning	1.39811254806012	0.608563892012805	0.693209338939713
[M] Cell wall/membrane/envelope biogenesis	2.09716882209018	4.44909548079631	4.70413032335572
[N] Cell motility	0	0.224099541315526	0.321637383957197
[O] Post-translational modification, protein turnover, and chaperones	5.59245019224047	2.11352594928771	1.8343611532536
[T] Signal transduction mechanisms	6.64103460328556	6.61813232563925	6.92915606168976
[U] Intracellular trafficking, secretion, and vesicular transport	2.09716882209018	0.766872742299919	0.762236540062947
[V] Defense mechanisms	0	2.1834285585054	2.05319206745279
[J] Translation, ribosomal structure and biogenesis	16.0782943026914	1.94699326262205	1.87254641344944
[K] Transcription	10.1363159734359	13.6906316111935	12.7171603090656
[L] Replication, recombination and repair	4.54386578119539	4.26611512137355	4.8201547677969
[C] Energy production and conversion	9.08773156239077	4.49638253997299	4.53376531632816
[G] Carbohydrate transport and metabolism	2.09716882209018	8.61858052472188	7.74720182819276
[E] Amino acid transport and metabolism	10.8353722474659	7.96067361443777	7.36828655394182
[F] Nucleotide transport and metabolism	8.03914715134568	0.791544251435574	0.794547144844035
[H] Coenzyme transport and metabolism	7.68961901433065	2.40547214072629	2.35573682131207
[I] Lipid transport and metabolism	4.19433764418036	4.4264799307553	4.955271842336
[Q] Secondary metabolites biosynthesis, transport, and catabolism	1.39811254806012	6.60785253016606	9.0910292543153
[P] Inorganic ion transport and metabolism	2.79622509612024	5.31671021873349	4.62775980296406
[R] General function prediction only	3.84480950716533	16.7252272348789	16.6223374960162
[S] Function unknown	1.39811254806012	5.78341293321628	5.19613271434047
