Number of genomes	Number of gene families
1	149947
2	27597
3	10713
4	7198
5	5014
6	2253
7	1751
8	1718
9	1316
10	810
11	614
12	540
13	442
14	424
15	321
16	300
17	256
18	260
19	204
20	210
21	164
22	154
23	129
24	127
25	126
26	110
27	126
28	116
29	111
30	88
31	101
32	89
33	102
34	90
35	90
36	94
37	83
38	71
39	52
40	72
41	43
42	42
43	50
44	34
45	37
46	34
47	43
48	41
49	42
50	42
51	37
52	29
53	32
54	32
55	35
56	32
57	30
58	32
59	30
60	29
61	25
62	31
63	42
64	36
65	39
66	32
67	37
68	50
69	73
70	73
71	52
72	65
73	123
74	274
75	273
