Genome Number	Number of new gene families
2	4499
3	4404
4	5940
5	5418
6	4555
7	2655
8	4317
9	3696
10	2883
11	3277
12	2915
13	2689
14	4452
15	1214
16	1501
17	2943
18	3637
19	5575
20	4203
21	1521
22	1814
23	4182
24	4054
25	2926
26	3283
27	1672
28	1517
29	4227
30	4151
31	8904
32	3664
33	102
34	1116
35	3156
36	1141
37	1412
38	4036
39	1846
40	3086
41	965
42	2927
43	2750
44	1773
45	1062
46	1251
47	1062
48	578
49	2755
50	2438
51	2570
52	2087
53	449
54	487
55	2826
56	2044
57	3495
58	2332
59	2923
60	2036
61	3709
62	7670
63	3483
64	2603
65	3322
66	1586
67	1629
68	2373
69	3158
70	3335
71	3333
72	2532
73	1566
74	299
75	304
