	CORE	ACCESSORY	UNIQUE
[D] Cell cycle control, cell division, chromosome partitioning	1.25830679092446	1.13632565756492	1.51034586920405
[M] Cell wall/membrane/envelope biogenesis	6.01627934410759	4.34477457304235	5.43724512913457
[N] Cell motility	0.825763831544178	3.17502757260787	2.41655339072648
[O] Post-translational modification, protein turnover, and chaperones	5.30848177421258	1.70448848634738	2.41655339072648
[T] Signal transduction mechanisms	4.44339585545201	5.11346545904214	3.1717263253285
[U] Intracellular trafficking, secretion, and vesicular transport	2.32000314576698	3.74319040139033	3.47379549916931
[V] Defense mechanisms	1.1010184420589	1.87159520069516	5.28621054221417
[J] Translation, ribosomal structure and biogenesis	6.40950021627148	0.802112228869356	0.453103760761214
[K] Transcription	5.70170264637647	9.42481868921493	10.4213864975079
[L] Replication, recombination and repair	4.0894970705045	8.02112228869356	14.6503549312793
[C] Energy production and conversion	8.49357083874012	4.64556665886835	2.41655339072648
[G] Carbohydrate transport and metabolism	4.44339585545201	6.18294843086795	3.1717263253285
[E] Amino acid transport and metabolism	8.84746962368763	5.31399351625948	4.38000302069174
[F] Nucleotide transport and metabolism	2.63457984349809	0.401056114434678	0.755172934602024
[H] Coenzyme transport and metabolism	4.79729464039951	1.83817385782561	1.51034586920405
[I] Lipid transport and metabolism	4.12881915772089	3.44239831556432	3.32276091224891
[Q] Secondary metabolites biosynthesis, transport, and catabolism	2.79186819236365	5.24715083052037	5.13517595529376
[P] Inorganic ion transport and metabolism	5.78034682080925	7.92085826008489	3.1717263253285
[R] General function prediction only	12.0325586882152	14.8390762340831	14.0462165835976
[S] Function unknown	8.5722150131729	10.8285150897363	12.8379398882344
