	CORE	ACCESSORY	UNIQUE
[D] Cell cycle control, cell division, chromosome partitioning	1.18169593741086	1.24665128245935	1.14838815519646
[M] Cell wall/membrane/envelope biogenesis	5.6232427366448	5.06617861595183	5.08571897301288
[N] Cell motility	0.77421457968298	2.99726797697674	2.21474858502174
[O] Post-translational modification, protein turnover, and chaperones	5.6232427366448	1.77714118988886	2.05069313427939
[T] Signal transduction mechanisms	4.27855425614278	5.03965412058036	4.0193585431876
[U] Intracellular trafficking, secretion, and vesicular transport	1.91516238132105	4.13782127795019	3.11705356410467
[V] Defense mechanisms	1.10019966586529	2.01586164823214	3.6912476417029
[J] Translation, ribosomal structure and biogenesis	6.56044985941893	0.875308347258693	0.738249528340579
[K] Transcription	5.86773155128153	9.07137741704464	8.20277253711755
[L] Replication, recombination and repair	4.03406544150605	8.4613140235007	16.0774341727504
[C] Energy production and conversion	8.4348641049672	5.49057054189544	3.36313674021819
[G] Carbohydrate transport and metabolism	4.68603561387067	6.10063393543938	4.26544171930112
[E] Amino acid transport and metabolism	9.00533800578624	5.14575210206626	4.18341399392995
[F] Nucleotide transport and metabolism	2.60788068945846	0.503965412058036	0.492166352227053
[H] Coenzyme transport and metabolism	4.9305244285074	1.67104320840296	0.984332704454106
[I] Lipid transport and metabolism	4.07481357727884	3.52775788440625	4.42949717004347
[Q] Secondary metabolites biosynthesis, transport, and catabolism	2.97461391141355	4.9866051298374	5.65991305061111
[P] Inorganic ion transport and metabolism	5.6232427366448	7.77167714384234	4.75760807152818
[R] General function prediction only	12.3059370033821	13.607066125567	14.4368796653269
[S] Function unknown	8.39411596919441	10.5037001671043	11.0737429251087
